"X756";"X382";"X692";"X702";"X762";"X733";"N13";"N32";"X696";"X687";"X364";"X774";"X358";"X380";"X794";"X700";"X351";"X344";"X416";"X802";"N18";"X369";"X758";"X805";"X418";"X789";"X348";"X343";"N58";"X379";"X362";"X795";"X803";"N16";"X393";"X759";"N72";"X751";"X701";"X792";"X350";"N40";"X780";"X689";"X783";"N46";"N69";"X699";"X763";"N71";"X693";"N42";"N26";"X791";"X706";"X757"
"A01-C02";0,933931704;-0,504736304;-0,383155472;-0,014420881;-0,109183787;-0,01557163;-0,434008583;-0,200694818;-0,529228086;0,315130019;1,456584187;1,282837447;0,135978367;0,126356117;0,176966756;-0,483624191;-1,008729496;0,377750859;-0,741416691;-0,255244051;1,799136832;0,119972061;0,194503872;0,959581686;-0,785294763;-0,696686802;-0,182310476;-0,065354478;-0,350657234;-0,738400947;0,237212659;-0,477096618;-0,521451194;-0,831916023;0,325903618;-0,343952078;-0,438462467;0,034828723;-0,999535916;-0,528667832;0,891183952;-0,884870095;-0,828494773;-0,284934381;-0,319886871;-0,140487261;-0,720090565;0,09689858;-0,253685401;0,257540282;0,090366256;-0,662144597;0,169309545;-0,516073888;5,904383463;0,685318066
"A01-G07";-1,041848254;-0,233819581;-0,508145142;0,928935389;0,176534764;-0,089594698;-0,268848818;1,077254607;-0,273964561;-0,067400178;-0,276263193;-1,188731462;-0,707007385;0,435370489;-0,054247543;3,818455427;0,312870322;-1,678010953;0,396603371;-0,287968495;0,333145795;0,342069955;-0,31781229;1,06930851;-0,119912462;-0,514009081;0,017567805;0,432938173;0,264897064;-0,1484307;-0,338783925;-0,488744247;-0,840998811;-0,17497774;0,382991601;-1,063881786;-0,163023586;0,166591574;0,042597295;-0,553839725;0,031346139;0,601009728;-0,684006237;-0,132947104;-0,610466383;-1,364604415;-0,09325483;-0,532266389;0,159541672;0,339611713;-0,429099251;-0,526615831;4,29266967;-0,566583867;1,79183776;0,235904386
"A01-K02";-0,564657189;0,188486123;-0,262597988;0,194275286;-0,554109047;-0,317938212;-0,57381314;1,72328072;-0,151839844;-0,593356731;-0,229179226;-1,471694891;-0,380852833;0,429447255;-0,850411639;-0,393321757;-0,329727541;1,535519901;1,054418404;-1,058589729;3,214102196;-0,8731625;-0,144317055;-1,017080113;0,313363277;-1,037418052;-0,552898306;1,074478808;0,137675835;1,413599345;0,674205837;1,367951728;1,453442539;-1,750999834;0,064455833;-0,862015383;0,15609811;0,618332838;0,8137955;-0,51082416;0,656030752;0,601251477;-0,060416913;-0,960337414;-0,864535787;-0,39489888;0,939587709;0,458681552;-0,704362706;1,096341367;-0,556066837;0,998914913;-0,673210055;-1,141376319;-2,529831488;1,421468281
"A02-C03";-1,150217211;-1,018001689;-0,031946958;1,210851396;-0,057211935;-0,124076429;-0,693803727;0,504368963;-0,733429572;1,266411986;0,210595389;-1,96084344;-0,421023421;0,262911766;0,429905699;-0,287957259;-0,293208179;1,625462414;1,359601389;1,403618262;-1,379022331;-0,735813031;-0,611727203;-0,031611367;1,5071653;0,29302465;-0,921932705;-0,419801017;0,475962198;-0,44974562;0,720589191;0,714819531;1,325250295;1,006634758;-0,278416399;-0,910055561;-1,669484971;1,349489791;2,77607026;0,987526012;0,517097975;-1,291280655;1,405507924;-1,121737325;-1,120903122;0,466778521;0,232734915;-0,771316291;-1,084576193;-0,244249064;0,299291496;-0,626663161;0,288984745;0,484295629;0,046888489;-0,800606134
"A02-C04";0,177325083;1,894214332;-0,016275733;-0,154904962;0,189653965;-0,590895847;1,527033584;0,0454806;0,14143053;0,213277612;1,725536211;-1,086482308;0,724745304;-0,370873708;-0,363542355;-0,926272339;1,435383301;-1,063522677;0,582028202;-1,573881176;0,111501257;-0,086037026;0,742668594;-0,323966267;0,060053016;-1,173050871;0,16172142;0,939189421;-0,150644594;-0,726710002;-0,934576722;-1,337711393;1,415102006;0,92703922;-0,686021332;-1,884043485;0,892182337;0,054320951;-1,064097692;-0,05643329;0,30202424;0,210924322;-0,286403487;-0,666386419;-0,385640299;-0,229861847;0,828131548;0,081462476;0,018827982;2,239768937;2,499842456;1,388230014;-0,801220907;-1,09334812;-0,111233018;-2,156698775
"A02-C12";0,581095548;-0,811494236;-0,430559358;-0,542409982;0,085190049;-0,599195648;0,111549098;4,69321459;0,099277087;-0,273968087;2,391403893;-0,104378275;0,862900799;0,117253059;-0,185174187;-0,593467068;-0,929118654;0,740637725;-0,259790239;-0,137806452;2,353789094;-0,609605909;0,151566634;1,766292047;0,027032176;-0,221899713;0,450745066;0,211411873;-1,181201328;-0,074211786;-0,400294088;-0,09146477;0,098228758;-0,494429028;0,055038763;-0,790202135;-0,260466633;0,347414978;-0,38300241;0,29654119;0,535095638;-0,325038029;-0,393758984;-0,731282663;-1,405037946;-0,57953657;0,052343839;-0,934732076;-0,527023776;1,129434371;-0,599696908;1,401523075;-0,829033631;-0,796947361;-0,189795096;-0,639075126
"A02-F02";-0,134881187;0,437911536;-0,480295639;-0,55106082;0,249363427;-0,723002963;-0,043265732;-0,39456198;-0,051868598;0,222961722;0,517263286;0,580777479;-0,695494805;-0,634271434;-0,368702644;-0,597070917;0,050098121;0,006640269;-0,187607707;0,034028952;1,300944254;0,034175022;0,00903566;5,800894418;-0,473290861;-0,463613583;0,218076365;0,183182072;0,085795494;-0,353312504;0,394559415;-0,700408417;-0,661558365;-0,705893183;-0,056294492;-0,34774383;0,037078044;0,399545574;-0,284380025;-0,047768232;-0,012667807;0,21638846;-0,683886623;-0,304947702;-0,8779722;-0,673275166;-0,204421916;-0,73700319;0,199761848;0,376456365;-0,775244688;-0,152251567;-0,626001563;-0,276954148;3,272983731;-0,055059344
"A02-G03";-0,017928073;2,123944706;-1,553210238;-0,811632442;0,546268751;-0,356335698;-0,23343993;2,340388503;-0,656930282;-0,318335725;0,470938105;1,554194163;1,254086912;0,5901551;0,517458321;0,867404656;-0,603550107;1,354250485;-0,777184697;0,177299705;1,591887235;0,399326705;0,557129868;2,034377702;-0,232247354;0,019733232;-0,425388347;2,579213705;-1,501739015;-1,303939828;-1,313793109;0,051391674;-0,55335893;-0,77002943;0,252066244;-0,633961945;-0,718866918;-0,324753872;-0,960461427;-1,849070765;0,021819667;-0,844233124;-0,951495178;0,025402966;-0,132118509;0,010414433;-1,21110857;-0,489453383;0,208373277;1,321035382;-0,559033482;-1,102958377;-0,611013871;-0,091322001;0,403667337;0,497384892
"A02-H02";-2,003832571;-0,904757168;-1,294769623;1,755648182;-0,218324666;-0,178569476;0,103222429;-0,098581575;1,383485708;0,646132524;-1,06030871;-0,739838887;-0,495938207;-0,539929122;-0,593720426;-0,994127415;0,692048524;-0,226557888;-0,04992878;0,419126674;0,417145631;-0,047250704;0,400178831;0,840252616;0,12623942;-0,17087599;-0,803021982;0,710329279;1,450430889;-0,049267848;-1,781521236;-0,066834718;-0,61620061;2,540857296;-0,690401663;-1,788605531;0,74694875;-0,428377466;-0,57424863;0,68566396;-2,524126526;0,815577005;0,13659453;0,873431558;-0,684591316;0,213051784;2,11948941;0,683946043;-0,442247913;2,385739873;-0,469046456;0,7110846;-0,162897919;0,057070265;-0,011162068;0,20446434
"A02-K06";0,440670555;-0,609974242;-0,168624349;1,171932089;0,768696391;-0,647026052;0,014256385;-0,524769466;1,168293587;2,352219324;-0,986036291;-1,085147596;-0,867323579;-0,031815136;1,097927843;0,061282171;-0,950867729;-2,654146479;0,305526723;-0,261197235;0,65178817;-0,56102467;-0,26003755;0,368928668;-0,997760077;-0,398061631;-0,519236588;0,298935789;1,073730531;0,0166018;0,448798242;-0,540107446;-0,044348365;0,837496454;-0,75132411;-0,037255797;0,197354947;0,821504617;0,857956617;0,3250144;-0,721787842;1,105978836;-0,497040353;1,190537767;-0,466860821;-0,77858371;0,845598317;0,482049445;-0,335740472;1,37900326;0,449497263;2,1335076;-0,800127034;0,200610684;-3,668415564;-0,128835864
